|Исполнение|Тип накопителя|Назначение|Объем|Форм-фактор|Интерфейсы подключения|Объем буфера обмена|Частота вращения шпинделя|Кол-во пластин|Среднее время поиска|Потребляемая мощность при ожидании|Ударостойкость при работе|Уровень шума в режиме ожидания|Наработка на отказ|Гарантия производителя|Потребляемая мощность при работе|Уровень шума при чтении|Функции и возможности|Пыле-,влагозащита|Стандарт защиты MIL-STD-810|Источник питания (внешние)|Корпус|Размеры|Вес|Объем кеш-памяти NAND|Метод записи|Скорость передачи данных|Маркировка производителя|Гелиевый|Код EAN / UPS / GTIN|Чехол в комплекте
WD Purple WD10PURX 10PURX|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|изменяемая|||0.7 Вт|65 G|21 дБ|300 тыс. раз|3 года|3.3 Вт|22 дБ|режим экономии энергии|||||147x102x26 мм|450 г|||110 МБ/с||||
Seagate Enterprise Capacity 3.5 HDD ST5000NM0084 ST5000NM0084|встраиваемый|HDD|для сервера|5000 ГБ|"3.5 """|SATA 2, SATA 3|128 МБ|7200 об/мин||||300 G||1.4 млн. ч|5 лет|6.9 Вт|||||||147x101.85x26 мм|780 г|||||||
WD Purple WD121PURZ 121PURZ|встраиваемый|HDD|для сервера|12000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин||||||1.5 млн. ч|3 года|||режим экономии энергии|||||147x102x26 мм|660 г|||245 МБ/с||||
WD Purple WD180PURZ 180PURZ|встраиваемый|HDD|для сервера|18000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|512 МБ|7200 об/мин||||||1.5 млн. ч|3 года|6 Вт|36 дБ|режим экономии энергии|||||147x102x26 мм|690 г|||||||
WD Purple WD30PURX 30PURX|встраиваемый|HDD|для сервера|3000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|изменяемая|||0.6 Вт|65 G|23 дБ|300 тыс. раз|3 года|4.4 Вт|24 дБ|режим экономии энергии|||||147x102x26 мм|640 г|||||||
Toshiba N300 HDWN180EZSTA HDWN180EZSTA|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин|||6.2 Вт|70 G|33 дБ|1 млн. ч|3 года|9.2 Вт|35 дБ||||||147x102x26 мм|770 г|||240 МБ/с|HDWG180EZSTA, HDWG180UZSVA, HDWN180EZSTA, HDWN180UZSVA||4051528328264, 4260557511411|
Seagate Exos 7E10 512e/4KN SAS ST2000NM018B ST2000NM018B|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|||7200 об/мин|||5.9 Вт|||2 млн. ч|5 лет|10.3 Вт|||||||147x102x26 мм|620 г|||226 МБ/с||||
WD Purple WD102PURZ 102PURZ|встраиваемый|HDD|для сервера|10000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин||||||1.5 млн. ч|3 года|9 Вт|38 дБ|режим экономии энергии|||||147x102x26 мм|750 г|||265 МБ/с||||
"Toshiba MG Series 3.5"" MG06ACA800E MG06ACA800E"|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин||||||2.5 млн. ч||9.1 Вт|34 дБ||||||147x102x26 мм|770 г|||230 МБ/с||||
Synology HAT3300 HAT3300-4T HAT3300-4T|встраиваемый|HDD|для ПК|4000 ГБ|"3.5 """|SATA 3|256 МБ|5400 об/мин|||3.96 Вт|||1 млн. ч|3 года|4.85 Вт|||||||147x102x20 мм|490 г|||202 МБ/с|||4711174725120|
HP Server SATA 765455-B21 765455-B21|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||102x26x147 мм||||||||
"Dell SATA 2.5"" 400-ATJG 400-ATJG"|встраиваемый|HDD|для сервера|1000 ГБ|"2.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
"Hitachi HGST Ultrastar DC HC310 3.5"" HUS726T6TALE6L4 HUS726T6TALE6L4"|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин||||70 G||2 млн. ч||5.9 Вт|||||||147x102x26 мм|715 г||||||0829686005174|
HP Server SATA 843266-B21 843266-B21|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин|||||||||||||||||||||||
"HP Server SATA 7.2K 3.5"" 819203-B21 819203-B21"|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||2 года||||||||||||||||
Seagate IronWolf Pro ST10000NE000 ST10000NE000|встраиваемый|HDD|для сервера|10000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин||||70 G||1.2 млн. ч|5 лет|7.8 Вт|||||||147x102x26 мм|720 г||CMR|240 МБ/с|||8719706022897|
WD Purple WD60PURZ 60PURZ|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|5400 об/мин|||4.9 Вт|65 G|25 дБ|300 тыс. раз|3 года|5.3 Вт|26 дБ|режим экономии энергии|||||147x102x26 мм|750 г|||175 МБ/с|||0718037857077|
Apacer AC233 AP2TBAC233B-S AP2TBAC233B-S|внешний|HDD|для ПК|2000 ГБ|"2.5 """|USB 3.2 gen1|8 МБ|5400 об/мин|||||||||||||USB порт|пластиковый|127x80x15 мм|152 г|||||||
Seagate One Touch Hub STLC20000400 STLC20000400|внешний|HDD|для ПК|20000 ГБ||USB 3.2 gen1, USB C 3.2 gen1|||||||||2 года||||||блок питания|пластиковый|199x130x45 мм|1250 г||||||8719706043724|
"WD Elements Portable 3.0 2.5"" WDBU6Y0030BBK BU6Y0030BBK"|внешний|HDD|для ПК|3000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||2 года||||||USB порт|пластиковый|111x83x21 мм|234 г|||||||
A-Data HV300 AHV300-2TU31-CBK AHV300-2TU31-CBK|внешний|HDD|для ПК|2000 ГБ|"2.5 """|USB 3.2 gen1|||||||||3 года||||||USB порт|пластиковый|125x80x10 мм|140 г|||||||
A-Data HV300 AHV300-5TU31-CBK AHV300-5TU31-CBK|внешний|HDD|для ПК|5000 ГБ|"2.5 """|USB 3.2 gen1|||||||||3 года||||||USB порт|пластиковый|125x80x19 мм|246 г|||||||
WD Purple WD82PURZ 82PURZ|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин|||||||3 года|8.8 Вт|29 дБ||||||147x102x26 мм|715 г|||245 МБ/с||||
"Silicon Power Stream S03 2.5"" SP010TBPHDS03S3K SP010TBPHDS03S3K"|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года|||режим экономии энергии|||USB порт|пластиковый|123x78x13 мм|145 г|||||||
Apacer AC233 AP1TBAC233B-S AP1TBAC233B-S|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1|8 МБ|5400 об/мин|||||||||||||USB порт|пластиковый|127x80x15 мм|152 г|||||||
Transcend StoreJet 35T3 TS8TSJ35T3 TS8TSJ35T3|внешний|HDD|для ПК|8000 ГБ|"3.5 """|USB 3.2 gen1|||||||||3 года|||кнопка резервного копирования, режим экономии энергии|||блок питания|пластиковый|172.4x152.4x44.8 мм|1040 г|||||||
A-Data HV300 AHV300-4TU31-CBK AHV300-4TU31-CBK|внешний|HDD|для ПК|4000 ГБ|"2.5 """|USB 3.2 gen1|||||||||3 года||||||USB порт|пластиковый|125x80x19 мм|246 г||||||4713218465054|
"Toshiba L200 2.5"" HDWJ105EZSTA HDWJ105EZSTA"|встраиваемый|HDD|для ПК|500 ГБ|"2.5 """|SATA, SATA 2, SATA 3|8 МБ|5400 об/мин|||||||2 года||||||||100x70x10 мм|92 г|||||||
Seagate IronWolf Pro ST20000NE000 ST20000NE000|встраиваемый|HDD|для сервера|20000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин|||5.5 Вт|70 G||1.2 млн. ч|5 лет|7.7 Вт|||||||147x102x26 мм|670 г|||285 МБ/с|||8719706427531|
Transcend StoreJet 35T3 TS3TSJ35T3 TS3TSJ35T3|внешний|HDD|для ПК|3000 ГБ|"3.5 """|USB 3.2 gen1|||||||||3 года|||кнопка резервного копирования, режим экономии энергии|||блок питания|пластиковый|172.4x152.4x44.8 мм|1040 г|||||||
A-Data HD680 AHD680-2TU31-CBK AHD680-2TU31-CBK|внешний|HDD|для ПК|2000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года||||||USB порт|пластиковый|124x102x23 мм|270 г|||||||
Netac K331 NT05K331N-002T-30BK NT05K331N-002T-30BK|внешний|HDD|для ПК|2000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||||||||USB порт|пластиковый|124x78x13 мм||||||||
Transcend StoreJet 35T3 TS2TSJ35T3 TS2TSJ35T3|внешний|HDD|для ПК|2000 ГБ|"3.5 """|USB 3.2 gen1|||||||||3 года|||кнопка резервного копирования, режим экономии энергии|||блок питания|пластиковый|172.4x152.4x44.8 мм|1040 г|||||||
Transcend StoreJet 35T3 TS4TSJ35T3 TS4TSJ35T3|внешний|HDD|для ПК|4000 ГБ|"3.5 """|USB 3.2 gen1|32 МБ|7200 об/мин|||||||3 года|||кнопка резервного копирования, режим экономии энергии|||блок питания|пластиковый|172x152x45 мм|1040 г|||||||
A-Data HV300 AHV300-1TU31-CBK AHV300-1TU31-CBK|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1|||||||||3 года||||||USB порт|пластиковый|125x80x10 мм|140 г||||AHV300-1TU31-CBK, AHV300-1TU31-CBL, AHV300-1TU31-CRD, AHV300-1TU31-CWH|||
HP Midline SAS 872491-B21 872491-B21|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SAS||7200 об/мин||||||||||||||||||||||0190017140889, 4549821073528|
"Silicon Power Diamond D06 2.5"" SP010TBPHDD06S3K SP010TBPHDD06S3K"|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года||||||USB порт|пластиковый|116x78x13 мм|138 г|||||||
WD Gold WD8004FRYZ 8004FRYZ|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин||||||2.5 млн. ч|5 лет||||||||147x102x26 мм||||255 МБ/с||||
Seagate IronWolf ST3000VN006 ST3000VN006|встраиваемый|HDD|для сервера|3000 ГБ|"3.5 """|SATA 3|256 МБ|5900 об/мин|||||23 дБ|600 тыс. раз|3 года||28 дБ||||||147x102x20 мм|490 г||CMR|202 МБ/с|||7636490078316|
WD Gold Enterprise Class WD201KRYZ 201KRYZ|встраиваемый|HDD|для сервера|20000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|512 МБ|7200 об/мин||||||2.5 млн. ч|5 лет||||||||147x102x26 мм|690 г|||291 МБ/с|WD201KRYZ, WD202KRYZ|||
Netac K330 NT05K330N-002T-30SL NT05K330N-002T-30SL|внешний|HDD|для ПК|2000 ГБ|"2.5 """|USB 2.0|||||||||||||||USB порт|металлический|||||||||
Dahua SkyHawk ST2000VX012 ST2000VX012|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|5900 об/мин||||||600 тыс. раз|3 года||||||||147x102x26 мм|415 г||SMR|180 МБ/с||||
"Silicon Power Armor A75 2.5"" SP020TBPHDA75S3S SP020TBPHDA75S3S"|внешний|HDD|для ПК|2000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года||||||USB порт|металлический|124x82x12 мм|169 г|||||||
"Toshiba L200 2.5"" HDWL110EZSTA HDWL110EZSTA"|встраиваемый|HDD|для ПК|1000 ГБ|"2.5 """|SATA, SATA 2, SATA 3|128 МБ|5400 об/мин||||400 G|19 дБ|0.6 млн. ч|2 года|1.65 Вт|24 дБ||||||100x70x7 мм|92 г|||||||
"LaCie Rugged Mini 2.5"" LC-301558 LC-301558"|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1|8 МБ|5400 об/мин||12 мс|||||2 года|||ударостойкий корпус / при падении с высоты до 2.2 метра /|Есть||USB порт|прорезиненный|140x89x25 мм|300 г|||||||
LaCie Mobile Drive STHG2000400 STHG2000400|внешний|HDD|для ПК|2000 ГБ|"2.5 """|USB C 3.2 gen2, Thunderbolt v3||5400 об/мин|||||||2 года||||||USB порт|пластиковый|122x88x10 мм|200 г|||||||
"HP Server SAS 15K 2.5"" R0Q53A R0Q53A"|встраиваемый|HDD|для сервера|900 ГБ|"2.5 """|SAS||15000 об/мин|||||||2 года||||||||||||||||
Netac K338 NT05K338N-004T-30SL NT05K338N-004T-30SL|внешний|HDD|для ПК|4000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года||||||USB порт|пластиковый|124x78x19 мм||||||||
Silicon Power Armor A62S SP010TBPHD62SS3K SP010TBPHD62SS3K|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1|8 МБ|5400 об/мин|||||||3 года|||ударостойкий корпус||Есть|||132x86x15 мм|136 г||||SP010TBPHD62SS3B, SP010TBPHD62SS3K||4712702658385, 4713436133988|
"Fujitsu SATA 7.2K 3.5"" S26361-F5638-L600 S26361-F5638-L600"|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SATA||7200 об/мин|||||||||||||||||||||||
LaCie Rugged USB-C for Mac STFR2000800 STFR2000800|внешний|HDD|для ПК|2000 ГБ|"2.5 """|USB 3.2 gen1, USB C 3.2 gen1, Thunderbolt v3||5400 об/мин|||||||2 года|||ударостойкий корпус, шифрование данных, встроенный USB коннектор|Есть||USB порт|прорезиненный|135x86x19 мм|100 г|||||||
Dahua SkyHawk Lite ST1000VX008 ST1000VX008|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA 3||5400 об/мин|||||||||||||||147x102x20 мм|415 г|||175 МБ/с|||8719706002431|
Seagate One Touch HDD STKB1000400 STKB1000400|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1|||||||||2 года||||||USB порт|металлический|115x78x12 мм|148 г||||STKB1000400, STKB1000401, STKB1000402, STKB1000403, STKB1000404|||
Dahua SkyHawk ST4000VX005 ST4000VX005|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|5900 об/мин||||||600 тыс. раз|3 года||||||||147x102x26 мм|635 г||SMR|||||
HP LFF SAS R0Q61A R0Q61A|встраиваемый|HDD|для ПК|12000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SAS 10K 401-ABHQ 401-ABHQ|встраиваемый|HDD|для сервера|2400 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
LaCie 1big Dock STHS4000800 STHS4000800|внешний|HDD|для ПК|4000 ГБ|"3.5 """|USB 3.2 gen1 / для выгрузки /, USB C 3.2 gen1, Thunderbolt v3 / 2 шт /||7200 об/мин|||||||5 лет||||||блок питания||217x118x56 мм|1700 г|||||||
"Verbatim Store n Go 3.0 2.5"" 53177 53177"|внешний|HDD|для ПК|2000 ГБ|"2.5 """|USB 3.2 gen1|8 МБ|5400 об/мин|||||||2 года|||режим экономии энергии / Green Button /|||USB порт|пластиковый|116x80x13 мм|150 г|||||||
"Silicon Power Armor A30 2.5"" SP500GBPHDA30S3K SP500 ГБPHDA30S3K"|внешний|HDD|для ПК|500 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года|||ударостойкий корпус||Есть|USB порт|прорезиненный|87.5x134x18.6 мм|181 г|||||||
HP Midline SAS 872487-B21 872487-B21|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SAS 10K 401-ABHS 401-ABHS|встраиваемый|HDD|для сервера|2400 ГБ|"2.5 """|SAS||10000 об/мин||||||||||||||||||||||0884116305378, 5397184222775|
Hitachi HGST Ultrastar He12 HUH721212ALE604 HUH721212ALE604|встраиваемый|HDD|для сервера|12000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин||4 мс|5 Вт|70 G|20 дБ|600 тыс. раз|5 лет|6.9 Вт|36 дБ|шифрование данных|||||147x102x26 мм|660 г||||0F30146|Есть|8717306638999|
Dell SATA 7.2K 400-BHFM 400-BHFM|встраиваемый|HDD|для сервера|16000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
Apacer AC631 AP1TBAC631U-1 AP1TBAC631U-1|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года||||Есть|Есть|USB порт|пластиковый|153x93x21 мм|263 г|||||||Есть
Dell SAS 15K 400-ATII 400-ATII|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS||15000 об/мин|||||||||||||||||||||||
Toshiba DT01ACAxxx DT01ACA200 DT01ACA200|встраиваемый|HDD|для ПК|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин|2 шт||1 Вт|70 G|27 дБ|300 тыс. раз|2 года|6.4 Вт|28 дБ||||||||||||||
"Lenovo ThinkSystem HDD 2.5"" 7XB7A00024 7XB7A00024"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
WD Purple Pro WD221PURP 221PURP|встраиваемый|HDD|для ПК|22000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|512 МБ|7200 об/мин||||||600 тыс. раз|5 лет||||||||147x102x26 мм|670 г||CMR|265 МБ/с||||
Dell SATA 7.2K 400-AXZJ 400-AXZJ|встраиваемый|HDD|для сервера|14000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
"Verbatim Store n Go 3.0 2.5"" 53023 53023"|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1|8 МБ|5400 об/мин|||||||2 года|||режим экономии энергии / Green Button /|||USB порт|пластиковый|121x80x15 мм|184 г|||||||
HP Midline SATA 861686-B21 861686-B21|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
A-Data HV320 AHV320-4TU31-CBK AHV320-4TU31-CBK|внешний|HDD|для ПК|4000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года||||||USB порт|пластиковый|126x80x19 мм|285 г|||||||
Toshiba X300 HDWE160EZSTA HDWE160EZSTA|встраиваемый|HDD|для ПК|6000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||4 мс|6 Вт|70 G|34 дБ||2 года|11.3 Вт|||||||147x102x26 мм|770 г||||HDWE160EZSTA, HDWE160UZSVA, HDWR160EZSTA, HDWR160UZSVA||4051528227321, 4053162929678, 4260557511435|
Toshiba X300 HDWR21EEZSTA HDWR21EEZSTA|встраиваемый|HDD|для ПК|14000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин||4 мс|4.54 Вт|70 G|20 дБ|0.6 млн. ч|2 года|6.77 Вт|||||||147x102x26 мм|720 г||||HDWR21EEZSTA, HDWR21EUZSVA||4547808811255|
"Lenovo TCH ThinkSystem 2.5"" 7XB7A00037 7XB7A00037"|встраиваемый|HDD|для сервера|2000 ГБ|"2.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
HP Midline SATA 458941-B21 458941-B21|встраиваемый|HDD|для сервера|500 ГБ|"3.5 """|SATA, SATA 2||7200 об/мин||9 мс|||||||||||||146x102x26 мм||||||||
HP Midline SATA 861691-B21 861691-B21|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
Apacer AC236 AP1TBAC236B-1 AP1TBAC236B-1|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года||||||USB порт|пластиковый|129x79x11 мм|190 г|||||||
"HP Server SAS 10K 2.5"" 881457-B21 881457-B21"|встраиваемый|HDD|для сервера|2400 ГБ|"2.5 """|SAS||10000 об/мин|||||||2 года||||||||||||||||
Hitachi HGST Ultrastar 7K2 HUS722T1TALA604 HUS722T1TALA604|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||8 мс|5.9 Вт|||600 тыс. раз|5 лет|8.1 Вт|28 дБ||||||147x102x26 мм|640 г||||||2000000350103|
Hitachi HGST Ultrastar 7K2 HUS722T2TALA604 HUS722T2TALA604|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||8 мс|5.9 Вт|||600 тыс. раз|5 лет|8.1 Вт|28 дБ||||||147x102x26 мм|640 г|||||||
HP Midline SAS 870753-B21 870753-B21|встраиваемый|HDD|для сервера|300 ГБ|"3.5 """|SAS||15000 об/мин|||||||||||||||||||||||
Seagate SkyHawk ST6000VX0023 ST6000VX0023|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин|||0.6 Вт|||300 тыс. раз|3 года|9 Вт|||||||102x147x26 мм|705 г|||195 МБ/с|||2000000372891|
Dell SAS 7.2K 400-BJLE 400-BJLE|встраиваемый|HDD|для сервера|16000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Apacer AC631 AP2TBAC631U-1 AP2TBAC631U-1|внешний|HDD|для ПК|2000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года||||Есть|Есть|USB порт|пластиковый|153x93x21 мм|263 г|||||||Есть
HP Midline SATA 861681-B21 861681-B21|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
Seagate SkyHawk ST3000VX015 ST3000VX015|встраиваемый|HDD|для сервера|3000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|5900 об/мин|2 шт|||||600 тыс. раз|3 года||||||||147x102x20 мм|490 г|||180 МБ/с|||8719706028264|
"HP MSA SAS 2.5"" R0Q57A R0Q57A"|встраиваемый|HDD|для ПК|2400 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Silicon Power Armor A80 2.5"" SP750GBPHDA80S3B SP750 ГБPHDA80S3B"|внешний|HDD|для ПК|750 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года|||ударостойкий корпус||Есть|USB порт|металлический|139.45x94x18.1 мм|270 г|||||||
"HP Server SAS 10K 2.5"" P28586-B21 P28586-B21"|встраиваемый|HDD|для сервера|1200 ГБ|"2.5 """|SAS||10000 об/мин|||||||2 года||||||||||||||||
Seagate Exos 7E10 512e/4KN SATA ST4000NM024B ST4000NM024B|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SATA 3||7200 об/мин|||5.16 Вт|||2 млн. ч|5 лет|9.4 Вт|||||||147x102x26 мм|620 г|||250 МБ/с||||
Apacer AC630 AP2TBAC630T-1 AP2TBAC630T-1|внешний|HDD|для ПК|2000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года|||ударостойкий корпус|Есть|Есть|USB порт|прорезиненный|143x93x20 мм|250 г|||||||
"HP Server SAS 10K 2.5"" P28352-B21 P28352-B21"|встраиваемый|HDD|для сервера|2400 ГБ|"2.5 """|SAS||10000 об/мин|||||||2 года||||||||||||||||
Dell SAS ABH 401-ABHX 401-ABHX|встраиваемый|HDD|для сервера|12000 ГБ|"3.5 """|SAS||7200 об/мин||||||||||||||||||||||5397184074794|
WD Blue WD60EZRZ 60EZRZ|встраиваемый|HDD|для ПК|6000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|5400 об/мин|||3.4 Вт|65 G|25 дБ|300 тыс. раз|2 года|5.3 Вт|28 дБ||||||102x26x147 мм|750 г|||||||
Apacer AC532 AP1TBAC532B-1 AP1TBAC532B-1|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1|||||||||3 года|||ударостойкий корпус|Есть||USB порт|пластиковый|132x82x16 мм|190 г|||||||
"Silicon Power Armor A60 2.5"" SP050TBPHDA60S3K SP050TBPHDA60S3K"|внешний|HDD|для ПК|5000 ГБ|"2.5 """|USB 3.2 gen1|||||||||3 года|||ударостойкий корпус|Есть||USB порт|прорезиненный|139x86x23 мм|280 г|||||||
"Dell SAS 2.5"" 400-AXTV 400-AXTV"|встраиваемый|HDD|для сервера|480 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"HP MSA SAS 2.5"" R0Q47A R0Q47A"|встраиваемый|HDD|для ПК|1920 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
Toshiba S300 HDWT140UZSVA HDWT140UZSVA|встраиваемый|HDD|для ПК|4000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|5400 об/мин||5 мс|4 Вт|70 G|26 дБ|600 тыс. раз|3 года|7.5 Вт|||||||147x102x26 мм|720 г||CMR|157 МБ/с|||4547808810685|
"Silicon Power Armor A60 2.5"" SP010TBPHDA60S3K SP010TBPHDA60S3K"|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года|||ударостойкий корпус|Есть||USB порт|прорезиненный|139x86x23 мм|228 г||||SP010TBPHDA60S3A, SP010TBPHDA60S3K|||
Seagate Exos 7E10 512e/4KN SATA ST2000NM017B ST2000NM017B|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA 3||7200 об/мин|||5.16 Вт|||2 млн. ч|5 лет|9.4 Вт|||||||147x102x26 мм|620 г|||226 МБ/с||||
Toshiba P300 HDWD105EZSTA HDWD105EZSTA|встраиваемый|HDD|для ПК|500 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин||4 мс|3.7 Вт|70 G|25 дБ||2 года|6.4 Вт|26 дБ||||||147x102x26 мм|450 г||CMR||HDWD105EZSTA, HDWD105UZSVA|||
WD Red Plus WD80EFBX 80EFBX|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин||||||1 млн. ч|3 года|||||||||||CMR|210 МБ/с|||0718037886213|
Toshiba P300 HDWD120EZSTA HDWD120EZSTA|встраиваемый|HDD|для ПК|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин||4 мс|5.2 Вт|70 G|27 дБ||2 года|6.4 Вт|28 дБ||||||147x102x26 мм|680 г||CMR|173 МБ/с|HDWD120EZSTA, HDWD120UZSVA|||
Toshiba S300 HDWV110UZSVA HDWV110UZSVA|встраиваемый|HDD|для ПК|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|5400 об/мин||5 мс|4 Вт|70 G|26 дБ|600 тыс. раз|3 года|7.5 Вт|||||||147x102x26 мм|720 г||CMR|153 МБ/с||||
WD Red Plus WD30EFZX 30EFZX|встраиваемый|HDD|для сервера|3000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|5400 об/мин|||||||3 года|||||||||||CMR|175 МБ/с||||
