|Серия|Кодовое название|Разъем (Socket)|Техпроцесс|Тактовая частота|Тепловыделение (TDP)|Поддержка инструкций|Множитель|Макс. рабочая температура|Кол-во ядер|Кэш 1-го уровня L1|Кэш 2-го уровня L2|Кол-во потоков|Модель IGP|Частота системной шины|Кэш 3-го уровня L3|Макс. объем ОЗУ|Макс. частота DDR3|Число каналов|Маркировка производителя|Частота TurboBoost / TurboCore|Комплектация|Свободный множитель|кэш 1-го уровня L1|кэш 2-го уровня L2|кэш 3-го уровня L3|Многопоточность|Поддержка PCI Express|Макс. частота DDR4|Тепловыделение Max (TDP)|Макс. частота DDR5|Performance-core Base|Efficient-core Base|Частота TurboBoost Max 3.0|Performance-core Max|Efficient-core Max|Performance|Efficient|Тест Passmark CPU Mark|Тест Geekbench 4|Тест Cinebench R15|1-го уровня L1|2-го уровня L2|3-го уровня L3|Макс. объем|Комплектуется кулером|Код EAN / UPS / GTIN
Intel Xeon E5 v3 E5-2609 v3|Xeon|Haswell-EP|Intel LGA 2011 v3|22 нм|1.9 ГГц|85 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, VT-d, TXT /|19|71 °С|6 cores|||6 threads|отсутствует|||768 ГБ||4 шт|BX80644E52609V3||||384 КБ|1536 КБ|15 МБ|||1600 МГц||||||||||||||||||
Intel Xeon 5000 Sequence LV 5148|Xeon|Woodcrest|Intel LGA 771|65 нм|2.33 ГГц|40 Вт|MMX, SSE, SSE2, SSE3, SSSE3, EM64T, VT, NX, XD|7|58 °С|2 cores|||2 threads|||||||||||128 КБ|4096 КБ||||||||||||||||||||||
AMD Ryzen Threadripper 2 2920X BOX|Ryzen Threadripper|Colfax (Zen+)|AMD TR4|12 нм|3.5 ГГц|180 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, SMT, EVP, AMD-V, SMAP, SMEP /||68 °С|12 cores|||24 threads|отсутствует|||||4 шт|YD292XA8AFWOF|4.3 ГГц|BOX (без кулера)|Есть|||32 МБ|Есть||2933 МГц||||||||||22001 балл(ов)|34569 балл(ов)|2636 балл(ов)||||||
AMD Ryzen 3 Phoenix 8300G OEM|Ryzen 3|Phoenix (Zen 4)|AMD AM5|4 нм|3.4 ГГц|65 Вт|AVX2, AVX512, FMA3, MMX(+), SHA, SSE, SSE2, SSE3, SSE4.1, SSE4.2||95 °С|4 cores|||8 threads|Radeon 740M|||256 ГБ||2 шт|100-000001492|4.9 ГГц|OEM (без коробки)|Есть|||8 МБ|Есть|4.0|||5200 МГц||||||||||||||||
Intel Processor 300 BOX||Raptor Lake Refresh|Intel LGA 1700|10 нм||46 Вт|SSE4.1, SSE4.2, AVX2||100 °С|2 cores|||4 threads|UHD Graphics 710|||192 ГБ||2 шт|BX80715300||BOX (с кулером)||||6 МБ|Есть|5.0|3200 МГц||4800 МГц|3.9 ГГц|||||2 cores||||||||||
Intel Core i3 Haswell i3-4330|Core i3|Haswell|Intel LGA 1150|22 нм|3.5 ГГц|54 Вт|MMX, SSE, SSE2, SSE3, SSE4|35|67 °С|2 cores|||4 threads|HD Graphics 4600|5 ГТ/с||32 ГБ|1600 МГц|2 шт|BX80646I34330||||128 КБ|512 КБ|4 МБ|Есть||||||||||||||||||||
Intel Xeon E5 v4 E5-2667 v4|Xeon|Broadwell|Intel LGA 2011 v3|14 нм|3.2 ГГц|135 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2, BMI / BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, HT, VT-x, VT-d, TBT 2.0, TXT /|32|78 °С|8 cores|||16 threads|отсутствует|9.6 ГТ/с||1536 ГБ||4 шт||3.6 ГГц|||512 КБ|2048 КБ|25 МБ|Есть||2400 МГц||||||||||||||||||
Intel Xeon 5000 Sequence X5650|Xeon|Westmere-EP|Intel LGA 1366|32 нм|2.66 ГГц|95 Вт|MMX, SSE, SSE2, SSE3, SSE4|20|81 °С|6 cores|||6 threads|||||||BX80614X5650||||64 КБ|1536 КБ|12 МБ|||||||||||||||||||||
Intel Celeron D Prescott 336|Celeron D|Prescott|Intel LGA 775|90 нм|2.8 ГГц|84 Вт|MMX, SSE, SSE2, SSE3|21|68 °С|1 cores||||||||||||||16 КБ|256 КБ||||||||||||||||||||||
Intel Xeon 5000 Sequence X5560|Xeon|Nehalem-EP|Intel LGA 1366|45 нм|2.8 ГГц|95 Вт|MMX, SSE, SSE2, SSE3, SSE4|21|75 °С|4 cores|||4 threads|отсутствует|||144 ГБ|1333 МГц|3 шт|||||64 КБ|1024 КБ|8 МБ|||||||||||||||||||||
Intel Celeron Comet Lake G5920 BOX|Celeron|Comet Lake|Intel LGA 1200|14 нм|3.5 ГГц|58 Вт|SSE4.1, SSE4.2|35|100 °С|2 cores|||2 threads|UHD Graphics 610|8 ГТ/с||128 ГБ||2 шт|BX80701G5920, BXC80701G5920||BOX (с кулером)||||2 МБ||3.0|2666 МГц||||||||||||||||||
AMD Genoa EPYC 9124 OEM|EPYC|Genoa (Zen 4)|AMD SP5|5 нм|3 ГГц|200 Вт||||16 cores|||32 threads|отсутствует|||||12 шт|100-000000802|3.7 ГГц|OEM (без коробки)|||16384 КБ|64 МБ|Есть|5.0 / x128 /||240 Вт|4800 МГц||||||||43698 балл(ов)||||||||
Intel Pentium Wolfdale E5700|Pentium|Wolfdale|Intel LGA 775|45 нм|3 ГГц|65 Вт|MMX, SSE, SSE2, SSE3|15|74 °С|2 cores|||2 threads|||||||||||64 КБ|2048 КБ||||||||||||||||||||||
Intel Xeon 3000 Sequence X3430|Xeon|Lynnfield|Intel LGA 1156|45 нм|2.4 ГГц|95 Вт|MMX, SSE, SSE2, SSE3, SSE4|18|73 °С|4 cores|||4 threads|||||||||||64 КБ|1024 КБ|8 МБ|||||||||||||||||||||
Intel Xeon 5000 Sequence X5680|Xeon|Westmere-EP|Intel LGA 1366|32 нм|3.33 ГГц|130 Вт|MMX, SSE, SSE2, SSE3, SSE4|25|79 °С|6 cores|||6 threads|||||||||||64 КБ|1536 КБ|12 МБ|||||||||||||||||||||
Intel Xeon 5000 Sequence E5440|Xeon|Harpertown|Intel LGA 771|45 нм|2.83 ГГц|80 Вт|MMX, SSE, SSE2, SSE3, SSE4|9|67 °С|4 cores|||4 threads|||||||||||64 КБ|1024 КБ|12 МБ|||||||||||||||||||||
Intel Xeon 5000 Sequence E5649|Xeon|Westmere-EP|Intel LGA 1366|32 нм|2.53 ГГц|80 Вт|MMX, SSE, SSE2, SSE3, SSE4|19|76 °С|6 cores|||6 threads|отсутствует|||288 ГБ|1333 МГц|3 шт|||||64 КБ|1024 КБ|12 МБ|||||||||||||||||||||
Intel Core i7 Kaby Lake i7-7700 BOX|Core i7|Kaby Lake|Intel LGA 1151|14 нм|3.6 ГГц|65 Вт|MMX, SSE, SSE2, SSE2, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, HT, VT-x, TBT 2.0, TXT, TSX, MPX, SGX /|36|100 °С|4 cores|||8 threads|HD Graphics 630|8 ГТ/с||64 ГБ|1600 МГц|2 шт|BX80677I77700|4.2 ГГц|BOX (с кулером)||256 КБ|1024 КБ|8 МБ|Есть|3.0|2400 МГц||||||||||10736 балл(ов)|19308 балл(ов)|857 балл(ов)||||||
Intel Xeon E3 v5 E3-1275 v5|Xeon|Skylake|Intel LGA 1151|14 нм|3.6 ГГц|80 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2, BMI / BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, HT, VT-x, VT-d, TBT 2.0, SGX, TXT, TSX /|36||4 cores|||8 threads|HD Graphics P530|8 ГТ/с||64 ГБ|1600 МГц|2 шт|BX80662E31275V5|4 ГГц|||256 КБ|1024 КБ|8 МБ|Есть|3.0|2133 МГц||||||||||||||||||
Intel Core i9 Raptor Lake Refresh 14900F BOX|Core i9|Raptor Lake Refresh|Intel LGA 1700|10 нм||65 Вт|SSE4.1, SSE4.2, AVX2||100 °С|24 cores|||32 threads|отсутствует|||192 ГБ||2 шт|BX8071514900F, BXC8071514900F|5.8 ГГц|BOX (без кулера)|Есть|||36 МБ|Есть|5.0|3200 МГц|219 Вт|5600 МГц|2 ГГц|1.5 ГГц|5.6 ГГц|5.4 ГГц|4.3 ГГц|8 cores|16 cores|||||||||
Intel Core i5 Kaby Lake i5-7600 BOX|Core i5|Kaby Lake|Intel LGA 1151|14 нм|3.5 ГГц|65 Вт|MMX, SSE, SSE2, SSE2, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, TBT 2.0, TXT, TSX, MPX, SGX /|35|100 °С|4 cores|||4 threads|HD Graphics 630|8 ГТ/с||64 ГБ|1600 МГц|2 шт|BX80677I57600|4.1 ГГц|BOX (с кулером)||256 КБ|1024 КБ|6 МБ||3.0|2400 МГц||||||||||8735 балл(ов)|16127 балл(ов)|701 балл(ов)||||||
Intel Core i5 Raptor Lake Refresh 14500 BOX|Core i5|Raptor Lake Refresh|Intel LGA 1700|10 нм||65 Вт|SSE4.1, SSE4.2, AVX2||100 °С|14 cores|||20 threads|UHD Graphics 770|||192 ГБ||2 шт|BX8071514500||BOX (с кулером)||||24 МБ|Есть|5.0|3200 МГц|154 Вт|4800 МГц|2.6 ГГц|1.9 ГГц||5 ГГц|3.7 ГГц|6 cores|8 cores|||||||||
Intel Core i5 Lynnfield i5-750|Core i5|Lynnfield|Intel LGA 1156|45 нм|2.66 ГГц|95 Вт|MMX, SSE, SSE2, SSE3, SSE4|20|73 °С|4 cores|||4 threads|отсутствует|2.5 ГТ/с||16 ГБ|1333 МГц|2 шт||3.2 ГГц|||64 КБ|1024 КБ|8 МБ|||||||||||||||||||||
Intel Core i3 Sandy Bridge i3-2125|Core i3|Sandy Bridge|Intel LGA 1155|32 нм|3.3 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSE4||69 °С|2 cores|||4 threads|HD Graphics 3000|5 ГТ/с||32 ГБ|1333 МГц|2 шт|||||64 КБ|512 КБ|3 МБ|Есть||||||||||||||||||||
Intel Pentium 4 540|Pentium 4|Prescott|Intel LGA 775|90 нм|3.2 ГГц|84 Вт|MMX, SSE, SSE2, SSE3|16|68 °С|1 cores||||||||||||||16 КБ|1024 КБ||||||||||||||||||||||
Intel Celeron E E1200|Celeron|Conroe|Intel LGA 775|65 нм|1.6 ГГц|65 Вт|||73 °С|2 cores|||2 threads|отсутствует||||||BX80557E1200, HH80557PG025D|||||512 КБ||||||||||||||||||||||
Intel Xeon E Rocket Lake E-2324G BOX|Xeon|Rocket Lake|Intel LGA 1200|14 нм|3.1 ГГц|65 Вт|SSE4.1, SSE4.2, AVX2, AVX-512||100 °С|4 cores|||4 threads|UHD Graphics P750|8 ГТ/с||128 ГБ||2 шт|BX80708E2324G|4.6 ГГц|||||8 МБ||4.0|3200 МГц||||||||||||||||||
Intel Core i3 Raptor Lake Refresh 14100T OEM|Core i3|Raptor Lake Refresh|Intel LGA 1700|10 нм||35 Вт|SSE4.1, SSE4.2, AVX2||100 °С|4 cores|||8 threads|UHD Graphics 730|||192 ГБ||2 шт|CM8071505092103|4.4 ГГц|OEM (без коробки)||||12 МБ|Есть|5.0|3200 МГц|69 Вт|4800 МГц|2.7 ГГц|||||4 cores||||||||||
Intel Core i5 Raptor Lake Refresh 14500T OEM|Core i5|Raptor Lake Refresh|Intel LGA 1700|10 нм||35 Вт|SSE4.1, SSE4.2, AVX2||100 °С|14 cores|||20 threads|UHD Graphics 770|||192 ГБ||2 шт|CM8071505092904||OEM (без коробки)||||24 МБ|Есть|5.0|3200 МГц|92 Вт|4800 МГц|1.7 ГГц|1.2 ГГц||4.8 ГГц|3.4 ГГц|6 cores|8 cores|||||||||
Intel Xeon W-2200 W-2235|Xeon|Cascade Lake|Intel LGA 2066|14 нм|3.8 ГГц|130 Вт||38||6 cores|||12 threads|отсутствует|||1000 ГБ||4 шт|BX80695W2235, CD8069504439102|4.6 ГГц||Есть|||8.25 МБ|Есть||2933 МГц||||||||||||||||||
Intel Xeon E5 v2 E5-2650 v2|Xeon|Ivy Bridge-EP|Intel LGA 2011|22 нм|2.6 ГГц|95 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, F16C / EM64T, NX, XD, HT, VT-x, VT-d, TBT 2.0, TXT /|26|75 °С|8 cores|||16 threads|отсутствует|8 ГТ/с||768 ГБ|1866 МГц|4 шт||3.4 ГГц|||512 КБ|2048 КБ|20 МБ|Есть||||||||||||||||||||
Intel Core i5 Raptor Lake Refresh 14400 BOX|Core i5|Raptor Lake Refresh|Intel LGA 1700|10 нм||65 Вт|SSE4.1, SSE4.2, AVX2||100 °С|10 cores|||16 threads|UHD Graphics 730|||192 ГБ||2 шт|BX8071514400||BOX (с кулером)||||20 МБ|Есть|5.0|3200 МГц|148 Вт|4800 МГц|2.5 ГГц|1.8 ГГц||4.7 ГГц|3.5 ГГц|6 cores|4 cores|||||||||
Intel Core i5 Raptor Lake Refresh 14400F BOX|Core i5|Raptor Lake Refresh|Intel LGA 1700|10 нм||65 Вт|SSE4.1, SSE4.2, AVX2||100 °С|10 cores|||16 threads|отсутствует|||192 ГБ||2 шт|BX8071514400F||BOX (с кулером)||||20 МБ|Есть|5.0|3200 МГц|148 Вт|4800 МГц|2.5 ГГц|1.8 ГГц||4.7 ГГц|3.5 ГГц|6 cores|4 cores|||||||||
Intel Core i7 Bloomfield i7-960|Core i7|Bloomfield|Intel LGA 1366|45 нм|3.2 ГГц|130 Вт|MMX, SSE, SSE2, SSE3, SSE4|24|68 °С|4 cores|||8 threads|отсутствует|4.8 ГТ/с||24 ГБ|1066 МГц|3 шт|BX80601960|3.46 ГГц|||64 КБ|1024 КБ|8 МБ|Есть||||||||||||||||||||
Intel Xeon 7000 Sequence X7560|Xeon|Nehalem-EP|Intel LGA 1567|45 нм|2.26 ГГц|130 Вт|MMX, SSE, SSE2, SSE3, SSE4|||8 cores|||8 threads||||||||||||2048 КБ|24 МБ|||||||||||||||||||||
Intel Pentium Sandy Bridge G850|Pentium|Sandy Bridge|Intel LGA 1155|32 нм|2.9 ГГц|65 Вт|MMX, SSE, SSE2, SSE3|28|69 °С|2 cores|||2 threads|отсутствует|5 ГТ/с||32 ГБ|1333 МГц|2 шт|||||64 КБ|512 КБ|3 МБ|||||||||||||||||||||
Intel Xeon E7 E7-4830|Xeon|Westmere-EX|Intel LGA 1567|32 нм|2.13 ГГц|105 Вт|MMX, SSE, SSE2, SSE3, SSE4|16|64 °С|8 cores|||16 threads|отсутствует|6.4 ГТ/с||2048 ГБ|1333 МГц|4 шт||2.4 ГГц|||64 КБ|2048 КБ|18 МБ|Есть||||||||||||||||||||
Intel Xeon 7000 Sequence E7520|Xeon|Beckton|Intel LGA 1366|45 нм|1.87 ГГц|95 Вт|MMX, SSE, SSE2, SSE3, SSE4||70 °С|6 cores|||6 threads||||||||||||1024 КБ|18 МБ|||||||||||||||||||||
Intel Xeon 5000 Sequence X5570|Xeon|Nehalem-EP|Intel LGA 1366|45 нм|2.93 ГГц|95 Вт|MMX, SSE, SSE2, SSE3, SSE4|21|75 °С|4 cores|||4 threads|||||||||||64 КБ|1024 КБ|8 МБ|||||||||||||||||||||
Intel Xeon E5 E5-2650|Xeon|Sandy Bridge|Intel LGA 2011|32 нм|2 ГГц|95 Вт|MMX, SSE, SSE2, SSE3, SSE4||77 °С|8 cores|||16 threads|отсутствует|8 ГТ/с||384 ГБ|1600 МГц|4 шт||2.8 ГГц|||64 КБ|2048 КБ|20 МБ|Есть||||||||||||||||||||
Intel Xeon E5 E5-2665|Xeon|Sandy Bridge|Intel LGA 2011|32 нм|2.4 ГГц|115 Вт|MMX, SSE, SSE2, SSE3, SSE4||82 °С|8 cores|||16 threads|отсутствует|8 ГТ/с||384 ГБ|1600 МГц|4 шт||3.1 ГГц|||64 КБ|2048 КБ|20 МБ|Есть||||||||||||||||||||
Intel Xeon E5 E5-2403|Xeon|Sandy Bridge|Intel LGA 1356|32 нм|1.8 ГГц|80 Вт|MMX, SSE, SSE2, SSE3, SSE4||70 °С|4 cores|||4 threads|отсутствует|6.4 ГТ/с||384 ГБ|1066 МГц|3 шт|||||64 КБ|1024 КБ|10 МБ|||||||||||||||||||||
AMD Opteron 4180|Opteron|Lisbon|AMD C32|45 нм|2.6 ГГц|95 Вт|MMX, SSE, SSE2, SSE3, SSE4, SSE4a, 3DNow||70 °С|6 cores||||||||||||||384 КБ|3072 КБ|6 МБ|||||||||||||||||||||
Intel Xeon 5000 Sequence 5150|Xeon|Woodcrest|Intel LGA 771|65 нм|2.66 ГГц|65 Вт|MMX, SSE, SSE2, SSE3|8|65 °С|2 cores|||2 threads|||||||||||64 КБ|4096 КБ||||||||||||||||||||||
AMD Opteron 6276|Opteron|Interlagos|AMD G34|32 нм|2.3 ГГц|115 Вт|MMX, SSE, SSE2, SSE3, SSE4||69 °С|16 cores||||||||||||||512 КБ|16384 КБ|16 МБ|||||||||||||||||||||
AMD Opteron 6380|Opteron|Piledriver|AMD G34|32 нм|2.5 ГГц|115 Вт|MMX, SSE, SSE2, SSE3, SSE4||69 °С|16 cores||||||||||||||512 КБ|16384 КБ|16 МБ|||||||||||||||||||||
Intel Xeon E5 v2 E5-4603 v2|Xeon|Ivy Bridge-EP|Intel LGA 2011|22 нм|2.2 ГГц|95 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, F16C / EM64T, NX, XD, HT, VT-x, VT-d, /|22|77 °С|4 cores|||8 threads|отсутствует|6.4 ГТ/с||768 ГБ|1333 МГц|4 шт|||||256 КБ|1024 КБ|10 МБ|Есть||||||||||||||||||||
Intel Xeon E5 E5-4603|Xeon|Sandy Bridge|Intel LGA 1150|32 нм|2 ГГц|95 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, EM64T / NX, XD, HT, VT-x, VT-d, TXT /|20||4 cores|||8 threads|отсутствует|6.4 ГТ/с||384 ГБ|1066 МГц|4 шт|||||256 КБ|1024 КБ|10 МБ|Есть||||||||||||||||||||
Intel Xeon E5 v2 E5-2403 v2|Xeon|Ivy Bridge-EN|Intel LGA 1356|22 нм|1.8 ГГц|80 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / F16C, EM64T, NX, XD, HT, VT-x, VT-d, TXT /|18|76 °С|4 cores|||4 threads|отсутствует|6.4 ГТ/с||384 ГБ|1333 МГц|3 шт|||||256 КБ|1024 КБ|10 МБ|||||||||||||||||||||
Intel Xeon E5 v2 E5-2450L v2|Xeon|Ivy Bridge-EN|Intel LGA 1356|22 нм|1.7 ГГц|60 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / F16C, EM64T, NX, XD, HT, TBT 2.0, VT-x, VT-d, TXT /|17|68 °С|10 cores|||20 threads|отсутствует|||384 ГБ|1600 МГц|3 шт||2.1 ГГц|||640 КБ|2560 КБ|25 МБ|Есть||||||||||||||||||||
Intel Xeon 5000 Sequence X5672|Xeon|Westmere-EP|Intel LGA 1366|32 нм|3.2 ГГц|95 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, EM64T / NX, XD, HT, VT-x, VT-d, TBT, TXT /|24|83 °С|4 cores|||4 threads|||||||||||256 КБ|1024 КБ|12 МБ|||||||||||||||||||||
Intel Xeon E3 v2 E3-1225 v2|Xeon|Ivy Bridge-H2|Intel LGA 1155|22 нм|3.2 ГГц|77 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, F16C / EM64T, NX, XD, TBT 2.0, VT-x, VT-d, TXT /|32||4 cores|||4 threads|HD Graphics P4000|5 ГТ/с||32 ГБ|1600 МГц|2 шт||3.6 ГГц|||256 КБ|1024 КБ|8 МБ|||||||||||||||||||||
Intel Core i7 Haswell-E i7-5930K BOX|Core i7|Haswell-E|Intel LGA 2011 v3|22 нм|3.5 ГГц|140 Вт|MMX, SSE, SSE2, SSE3, SSE4|35|67 °С|6 cores|||12 threads|отсутствует|5 ГТ/с||64 ГБ|1600 МГц|4 шт|BX80648I75930K|3.7 ГГц|BOX (без кулера)||192 КБ|1536 КБ|15 МБ|Есть||2133 МГц||||||||||||||||||
Intel Core i7 Bloomfield i7-940|Core i7|Bloomfield|Intel LGA 1366|45 нм|2.93 ГГц|130 Вт|MMX, SSE, SSE2, SSE3, SSE4|22|68 °С|4 cores|||8 threads|отсутствует|4.8 ГТ/с||24 ГБ|1066 МГц|3 шт||3.2 ГГц|||64 КБ|1024 КБ|8 МБ|Есть||||||||||||||||||||
Intel Xeon E7 E7-4807|Xeon|Westmere-EX|Intel LGA 1567|32 нм|1.86 ГГц|95 Вт|MMX, SSE, SSE2, SSE3, SSE4|14|70 °С|6 cores|||12 threads|отсутствует|4.8 ГТ/с||2048 ГБ|1333 МГц|4 шт|||||64 КБ|2048 КБ|18 МБ|Есть||||||||||||||||||||
Intel Xeon E7 E7-2860|Xeon|Westmere-EX|Intel LGA 1567|32 нм|2.26 ГГц|130 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, EM64T / NX, XD, HT, VT-x, VT-d, TBT, TXT /|17|69 °С|10 cores|||20 threads|отсутствует|6.4 ГТ/с||1024 ГБ|1333 МГц|4 шт||2.67 ГГц|||480 КБ|2560 КБ|24 МБ|Есть||||||||||||||||||||
AMD Naples EPYC 7251|EPYC|Naples (Zen)|AMD SP3|14 нм|2.1 ГГц|120 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /|||8 cores|||16 threads|отсутствует|||||8 шт|PS7251BFV8SAF|2.9 ГГц|||768 КБ|4096 КБ|32 МБ|Есть||2400 МГц||||||||||||||||||
AMD Naples EPYC 7351|EPYC|Naples (Zen)|AMD SP3|14 нм|2.4 ГГц|170 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /|||16 cores|||32 threads|отсутствует|||||8 шт|PS7351BEVGPAF|2.9 ГГц|||1536 КБ|8192 КБ|64 МБ|Есть||2666 МГц||||||||||||||||||
AMD Naples EPYC 7401P|EPYC|Naples (Zen)|AMD SP3|14 нм|2 ГГц|170 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /|||24 cores|||48 threads|отсутствует|||||8 шт|PS740PBEVHCAF|3 ГГц|||2304 КБ|12288 КБ|64 МБ|Есть||2666 МГц||||||||||||||||||
AMD Naples EPYC 7451|EPYC|Naples (Zen)|AMD SP3|14 нм|2.3 ГГц|180 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /|||24 cores|||48 threads|отсутствует|||||8 шт||3.2 ГГц|||2304 КБ|12288 КБ|64 МБ|Есть||2666 МГц||||||||||||||||||
AMD Naples EPYC 7551|EPYC|Naples (Zen)|AMD SP3|14 нм|2 ГГц|180 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /|||32 cores|||64 threads|отсутствует|||||8 шт|PS7551BDVIHAF|3 ГГц|||3072 КБ|16384 КБ|64 МБ|Есть||2666 МГц||||||||||||||||||
AMD Naples EPYC 7601|EPYC|Naples (Zen)|AMD SP3|14 нм|2.2 ГГц|180 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /|||32 cores|||64 threads|отсутствует|||||8 шт|PS7601BDVIHAF|3.2 ГГц|||3072 КБ|16384 КБ|64 МБ|Есть||2666 МГц||||||||||||||||||
AMD Ryzen Threadripper 2 2970WX BOX|Ryzen Threadripper|Colfax (Zen+)|AMD TR4|12 нм|3 ГГц|250 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, SMT, EVP, AMD-V, SMAP, SMEP /||68 °С|24 cores|||48 threads|отсутствует|||||4 шт|YD297XAZAFWOF|4.2 ГГц|BOX (без кулера)|Есть|||64 МБ|Есть||2933 МГц||||||||||21111 балл(ов)|32454 балл(ов)|4309 балл(ов)||||||
AMD Ryzen Threadripper 2 2950X BOX|Ryzen Threadripper|Colfax (Zen+)|AMD TR4|12 нм|3.5 ГГц|180 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, SMT, EVP, AMD-V, SMAP, SMEP /||68 °С|16 cores|||32 threads|отсутствует|||||4 шт|YD295XA8AFWOF|4.4 ГГц|BOX (без кулера)|Есть|||32 МБ|Есть||2933 МГц||||||||||25771 балл(ов)|40637 балл(ов)|3261 балл(ов)||||||
Intel Core i9 Skylake-X Refresh i9-9940X BOX|Core i9|Skylake-X Refresh|Intel LGA 2066|14 нм|3.3 ГГц|165 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / AVX-512, BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, VT-d, HT, TBT 2.0/3.0 /|33||14 cores|||28 threads|отсутствует|8 ГТ/с||128 ГБ||4 шт|BX80673I99940X|4.4 ГГц|BOX (без кулера)|Есть|||19 МБ|Есть||2666 МГц|||||4.5 ГГц|||||||||||||
Intel Core i9 Skylake-X Refresh i9-9920X BOX|Core i9|Skylake-X Refresh|Intel LGA 2066|14 нм|3.5 ГГц|165 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / AVX-512, BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, VT-d, HT, TBT 2.0/3.0 /|35||12 cores|||24 threads|отсутствует|8 ГТ/с||128 ГБ||4 шт|BX80673I99920X|4.4 ГГц|BOX (без кулера)|Есть|||19 МБ|Есть||2666 МГц|||||4.5 ГГц|||||||||||||
